                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.37649,                0.27032,                  1.076,                0.99365,                0.99589,                0.99335,                0.97341,                0.23388,                0.15881,                0.89029,              0.0090496,              0.0090496,              0.0090496
                     99,                 0.4067,                0.28757,                  1.102,                0.99373,                0.99589,                0.99341,                0.97401,                0.23563,                0.15579,                0.89354,              0.0090397,              0.0090397,              0.0090397
                    100,                0.42873,                0.29909,                 1.1181,                0.99356,                0.99589,                0.99339,                0.97371,                0.23436,                0.15442,                0.89405,              0.0090298,              0.0090298,              0.0090298
                    101,                0.36281,                0.26254,                 1.0627,                0.99349,                0.99589,                 0.9935,                0.97353,                0.22864,                 0.1517,                0.89019,              0.0090199,              0.0090199,              0.0090199
                    102,                0.40366,                0.28699,                 1.0987,                 0.9934,                0.99589,                0.99358,                 0.9727,                0.22978,                0.15147,                 0.8898,                0.00901,                0.00901,                0.00901
                    103,                0.42933,                 0.2973,                 1.1191,                0.99327,                0.99589,                0.99345,                0.97276,                0.22924,                0.15129,                0.88917,              0.0090001,              0.0090001,              0.0090001
                    104,                0.35186,                0.25421,                 1.0531,                0.99386,                0.99672,                0.99344,                0.97285,                0.23496,                 0.1536,                0.89294,              0.0089902,              0.0089902,              0.0089902
                    105,                0.39959,                0.28145,                 1.0939,                0.99385,                0.99584,                0.99353,                 0.9734,                0.23486,                0.15426,                 0.8928,              0.0089803,              0.0089803,              0.0089803
                    106,                0.42396,                0.29605,                 1.1128,                0.99309,                0.99589,                0.99342,                0.97388,                0.23268,                0.15354,                0.89093,              0.0089704,              0.0089704,              0.0089704
                    107,                0.43579,                0.30205,                 1.1237,                0.99283,                0.99575,                0.99346,                0.97353,                0.23386,                0.15487,                 0.8922,              0.0089605,              0.0089605,              0.0089605
                    108,                0.44662,                0.30779,                 1.1343,                0.99385,                0.99579,                0.99341,                0.97382,                0.23409,                0.15421,                0.89161,              0.0089506,              0.0089506,              0.0089506
                    109,                0.34203,                0.24901,                  1.045,                0.99385,                0.99595,                0.99347,                0.97316,                0.22927,                0.15188,                0.88855,              0.0089407,              0.0089407,              0.0089407
                    110,                0.38979,                  0.275,                 1.0861,                0.99319,                0.99589,                0.99336,                0.97328,                0.22957,                0.15114,                0.89011,              0.0089308,              0.0089308,              0.0089308
                    111,                0.42565,                0.29424,                 1.1152,                0.99182,                 0.9962,                0.99321,                0.97307,                0.22947,                 0.1512,                0.88933,              0.0089209,              0.0089209,              0.0089209
                    112,                0.44032,                 0.3031,                 1.1272,                0.99182,                0.99637,                0.99315,                0.97294,                0.22896,                0.15025,                0.88764,               0.008911,               0.008911,               0.008911
                    113,                0.44824,                0.30676,                 1.1366,                0.99297,                0.99487,                0.99305,                0.97277,                0.22855,                0.15087,                0.88757,              0.0089011,              0.0089011,              0.0089011
                    114,                0.45795,                0.31176,                 1.1435,                0.99239,                0.99589,                0.99302,                0.97273,                0.22939,                0.15113,                0.88901,              0.0088912,              0.0088912,              0.0088912
                    115,                0.46865,                0.32154,                 1.1545,                0.99284,                0.99674,                0.99302,                0.97255,                0.22918,                0.15138,                0.88893,              0.0088813,              0.0088813,              0.0088813
                    116,                0.47038,                0.32349,                 1.1572,                0.99284,                0.99644,                0.99311,                0.97271,                0.22822,                0.15036,                0.88884,              0.0088714,              0.0088714,              0.0088714
                    117,                0.47585,                 0.3261,                  1.158,                0.99284,                 0.9965,                0.99302,                 0.9729,                0.22795,                0.15084,                0.88862,              0.0088615,              0.0088615,              0.0088615
                    118,                0.47116,                0.32363,                 1.1547,                 0.9926,                0.99692,                0.99307,                0.97317,                0.22739,                 0.1503,                0.88894,              0.0088516,              0.0088516,              0.0088516
                    119,                 0.4684,                 0.3209,                 1.1559,                0.99283,                0.99692,                0.99312,                0.97348,                0.22724,                 0.1506,                0.88882,              0.0088417,              0.0088417,              0.0088417
